Stationsnummer: 2243
Stationsname: Baden, Limmatpromenade
DBLH-Nr: 00764
Gewässer: Limmat
Exportperiode: 2019-01-01 - 2022-11-13
Parameter: Abfluss
Parametereinheit: m3/s
Zeitreihe: Stundenmittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-06 18:00:00;;83.873;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-06 19:00:00;;83.672;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-06 20:00:00;;83.138;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-06 21:00:00;;81.742;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-06 22:00:00;;80.664;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-06 23:00:00;;79.989;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-07 00:00:00;;79.445;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-07 01:00:00;;79.519;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-07 02:00:00;;78.996;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-07 03:00:00;;78.831;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-07 04:00:00;;78.559;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-07 05:00:00;;78.500;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-07 06:00:00;;78.519;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-07 07:00:00;;78.070;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-07 08:00:00;;78.056;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-07 09:00:00;;77.945;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-07 10:00:00;;77.953;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-07 11:00:00;;77.771;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-07 12:00:00;;78.189;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-07 13:00:00;;79.065;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-07 14:00:00;;79.598;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-07 15:00:00;;79.930;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-07 16:00:00;;79.884;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-07 17:00:00;;79.949;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-07 18:00:00;;79.825;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-07 19:00:00;;79.930;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-07 20:00:00;;79.425;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-07 21:00:00;;79.264;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-07 22:00:00;;78.652;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-07 23:00:00;;78.546;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-08 00:00:00;;78.577;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-08 01:00:00;;78.589;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-08 02:00:00;;78.460;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-08 03:00:00;;78.520;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-08 04:00:00;;77.961;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-08 05:00:00;;78.088;Freigegeben, provisorische Daten
Baden, Limmatpromenade;2243;Abfluss;Stundenmittel;m3/s;Limmat;2019-01-08 06:00:00;;78.085;Freigegeben, provisorische Daten
